Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
609	1.73125	1.16626E+17
610	1.72	1.17154E+17
611	1.715	1.17681E+17
612	1.7325	1.18215E+17
613	1.7075	1.18741E+17
614	1.6725	1.19258E+17
615	1.6975	1.19783E+17
616	1.66375	1.20299E+17
617	1.65	1.20811E+17
618	1.69375	1.21337E+17
619	1.70875	1.2187E+17
620	1.71125	1.22403E+17
621	1.71375	1.22939E+17
622	1.685	1.23466E+17
623	1.67875	1.23992E+17
624	1.6675	1.24516E+17
625	1.64375	1.25033E+17
626	1.64625	1.25551E+17
627	1.68375	1.26082E+17
628	1.69	1.26616E+17
629	1.6875	1.2715E+17
630	1.67125	1.2768E+17
631	1.6525	1.28204E+17
632	1.60875	1.28716E+17
633	1.65625	1.29243E+17
634	1.645	1.29768E+17
635	1.64375	1.30293E+17
636	1.62125	1.30812E+17
637	1.655	1.31342E+17
638	1.66625	1.31877E+17
639	1.6475	1.32407E+17
640	1.615	1.32927E+17
641	1.61	1.33446E+17
642	1.6125	1.33967E+17
643	1.625	1.34493E+17
644	1.615	1.35016E+17
645	1.6225	1.35542E+17
646	1.5975	1.36061E+17
647	1.60625	1.36584E+17
648	1.595	1.37104E+17
649	1.55375	1.37612E+17
650	1.5425	1.38116E+17
651	1.5975	1.38639E+17
652	1.59375	1.39162E+17
653	1.59625	1.39686E+17
654	1.575	1.40205E+17
655	1.5025	1.407E+17
656	1.3525	1.41146E+17
657	1.3925	1.41606E+17
658	1.52	1.4211E+17
659	1.5425	1.42621E+17
660	1.55875	1.43139E+17
661	1.56875	1.4366E+17
662	1.56875	1.44183E+17
663	1.56	1.44703E+17
664	1.55375	1.45222E+17
665	1.56625	1.45746E+17
666	1.55875	1.46268E+17
667	1.54125	1.46786E+17
668	1.535	1.47302E+17
669	1.5525	1.47824E+17
670	1.53375	1.48341E+17
671	1.5275	1.48857E+17
672	1.51375	1.49368E+17
673	1.5175	1.49882E+17
674	1.51	1.50394E+17
675	1.50375	1.50905E+17
676	1.515	1.5142E+17
677	1.50375	1.51932E+17
678	1.50625	1.52446E+17
679	1.4925	1.52956E+17
680	1.49	1.53466E+17
681	1.49	1.53976E+17
682	1.48875	1.54487E+17
683	1.48	1.54996E+17
684	1.47125	1.55502E+17
685	1.465	1.56007E+17
686	1.44	1.56504E+17
687	1.46625	1.57011E+17
688	1.47875	1.57522E+17
689	1.48	1.58035E+17
690	1.47875	1.58549E+17
691	1.46875	1.59059E+17
692	1.45375	1.59565E+17
693	1.45875	1.60074E+17
694	1.4575	1.60583E+17
695	1.4425	1.61087E+17
696	1.44	1.61592E+17
697	1.4375	1.62096E+17
698	1.42375	1.62596E+17
699	1.4275	1.63098E+17
700	1.42	1.63598E+17
701	1.41	1.64095E+17
702	1.4025	1.6459E+17
703	1.41	1.65089E+17
704	1.42	1.65592E+17
705	1.42625	1.66098E+17
706	1.41125	1.66599E+17
707	1.40125	1.67097E+17
708	1.39875	1.67596E+17
709	1.3925	1.68092E+17
710	1.39875	1.68592E+17
711	1.3975	1.69092E+17
712	1.38125	1.69587E+17
713	1.3725	1.70079E+17
714	1.375	1.70573E+17
715	1.35625	1.71061E+17
716	1.3675	1.71553E+17
717	1.36875	1.72047E+17
718	1.35375	1.72536E+17
719	1.31375	1.73011E+17
720	1.34375	1.73498E+17
721	1.35125	1.73988E+17
722	1.3575	1.74481E+17
723	1.3525	1.74973E+17
724	1.3575	1.75468E+17
725	1.35	1.7596E+17
726	1.34125	1.7645E+17
727	1.34	1.7694E+17
728	1.3325	1.77428E+17
729	1.295	1.77903E+17
730	1.32875	1.78391E+17
731	1.31625	1.78875E+17
732	1.325	1.79363E+17
733	1.31625	1.79849E+17
734	1.335	1.80342E+17
735	1.32875	1.80833E+17
736	1.3125	1.81319E+17
737	1.30875	1.81804E+17
738	1.29625	1.82285E+17
739	1.2675	1.82757E+17
740	1.27625	1.83232E+17
741	1.27	1.83705E+17
742	1.265	1.84178E+17
743	1.2875	1.84659E+17
744	1.2975	1.85144E+17
745	1.29125	1.85628E+17
746	1.29	1.86113E+17
747	1.28875	1.86597E+17
748	1.28125	1.87079E+17
749	1.27875	1.87561E+17
750	1.27125	1.88041E+17
751	1.27	1.8852E+17
752	1.27	1.89001E+17
753	1.27125	1.89483E+17
754	1.27875	1.89968E+17
755	1.2775	1.90453E+17
756	1.2625	1.90933E+17
757	1.26125	1.91413E+17
758	1.26625	1.91896E+17
759	1.25375	1.92375E+17
760	1.2575	1.92856E+17
761	1.25125	1.93335E+17
762	1.25	1.93814E+17
763	1.25125	1.94294E+17
764	1.2575	1.94778E+17
765	1.245	1.95257E+17
766	1.2075	1.95722E+17
767	1.21125	1.9619E+17
768	1.225	1.96663E+17
769	1.2125	1.97132E+17
770	1.21	1.97601E+17
771	1.21	1.9807E+17
772	1.21	1.9854E+17
773	1.21	1.99011E+17
774	1.21	1.99482E+17
775	1.21	1.99954E+17
776	1.20875	2.00426E+17
777	1.20125	2.00895E+17
778	1.20125	2.01365E+17
779	1.20625	2.01838E+17
780	1.1925	2.02306E+17
781	1.19125	2.02774E+17
782	1.1975	2.03245E+17
783	1.19	2.03714E+17
784	1.1825	2.0418E+17
785	1.18875	2.0465E+17
786	1.19	2.0512E+17
787	1.18875	2.05591E+17
788	1.18125	2.06059E+17
789	1.17875	2.06527E+17
790	1.17	2.06992E+17
791	1.16	2.07454E+17
792	1.15	2.07912E+17
793	1.14	2.08367E+17
794	1.13125	2.08819E+17
795	1.13125	2.09271E+17
796	1.14125	2.09728E+17
797	1.15625	2.10192E+17
798	1.15	2.10654E+17
799	1.13875	2.11111E+17
800	1.125	2.11564E+17
801	1.1375	2.12023E+17
802	1.1375	2.12482E+17
803	1.12375	2.12936E+17
804	1.125	2.13391E+17
805	1.1075	2.13839E+17
806	1.125	2.14295E+17
807	1.12125	2.14751E+17
808	1.1175	2.15205E+17
809	1.10375	2.15654E+17
810	1.10875	2.16106E+17
811	1.11125	2.16559E+17
812	1.11875	2.17016E+17
813	1.12	2.17474E+17
814	1.11875	2.17933E+17
815	1.11125	2.18388E+17
816	1.11	2.18844E+17
817	1.1075	2.19299E+17
818	1.09	2.19748E+17
819	1.0725	2.2019E+17
820	1.07125	2.20632E+17
821	1.07625	2.21076E+17
822	1.065	2.21517E+17
823	1.07625	2.21962E+17
824	1.07125	2.22406E+17
825	1.07125	2.22851E+17
826	1.07875	2.23299E+17
827	1.07875	2.23748E+17
828	1.07	2.24194E+17
829	1.06125	2.24636E+17
830	1.06	2.25079E+17
831	1.06	2.25522E+17
832	1.05625	2.25964E+17
833	1.03625	2.26399E+17
834	1.0475	2.26838E+17
835	1.05125	2.2728E+17
836	1.0575	2.27724E+17
837	1.05125	2.28167E+17
838	1.04875	2.28609E+17
839	1.0425	2.29049E+17
840	1.04875	2.29493E+17
841	1.0475	2.29936E+17
842	1.0325	2.30373E+17
843	1.0275	2.30809E+17
844	1.01625	2.3124E+17
845	1.03625	2.31681E+17
846	1.03625	2.32122E+17
847	1.01375	2.32554E+17
848	1.01	2.32985E+17
849	0.9975	2.33411E+17
850	0.9335	2.3381E+17
851	0.986	2.34232E+17
852	0.989875	2.34657E+17
853	0.968125	2.35072E+17
854	0.89025	2.35455E+17
855	0.927625	2.35854E+17
856	0.984625	2.36278E+17
857	1.0075	2.36712E+17
858	1.01	2.37148E+17
859	1.00875	2.37584E+17
860	1.001125	2.38017E+17
861	1.0005	2.3845E+17
862	1.008625	2.38888E+17
863	1.0075	2.39325E+17
864	0.9905	2.39756E+17
865	0.9615	2.40174E+17
866	0.880875	2.40558E+17
867	0.922125	2.4096E+17
868	0.96225	2.4138E+17
869	0.9625	2.41801E+17
870	0.973	2.42227E+17
871	0.966375	2.42651E+17
872	0.973125	2.43078E+17
873	0.965125	2.43501E+17
874	0.9495	2.43919E+17
875	0.940875	2.44333E+17
876	0.959125	2.44756E+17
877	0.96425	2.45181E+17
878	0.960375	2.45605E+17
879	0.948375	2.46025E+17
880	0.945	2.46443E+17
881	0.926625	2.46854E+17
882	0.940375	2.47271E+17
883	0.94025	2.47689E+17
884	0.94475	2.48109E+17
885	0.95	2.48532E+17
886	0.92925	2.48946E+17
887	0.925625	2.49359E+17
888	0.939125	2.49779E+17
889	0.943375	2.50201E+17
890	0.941875	2.50623E+17
891	0.938625	2.51043E+17
892	0.931875	2.51462E+17
893	0.920625	2.51875E+17
894	0.9235	2.52291E+17
895	0.92675	2.52708E+17
896	0.932125	2.53128E+17
897	0.9275	2.53547E+17
898	0.923125	2.53964E+17
899	0.91525	2.54378E+17
900	0.912	2.54791E+17
901	0.897375	2.55197E+17
902	0.88525	2.55599E+17
903	0.91625	2.56015E+17
904	0.92075	2.56434E+17
905	0.917125	2.56852E+17
906	0.910125	2.57266E+17
907	0.912375	2.57683E+17
908	0.900875	2.58094E+17
909	0.889	2.58501E+17
910	0.894125	2.5891E+17
911	0.895875	2.59321E+17
912	0.892125	2.5973E+17
913	0.8985	2.60143E+17
914	0.897	2.60555E+17
915	0.890125	2.60965E+17
916	0.893375	2.61377E+17
917	0.889625	2.61787E+17
918	0.888625	2.62198E+17
919	0.890625	2.62609E+17
920	0.884	2.63019E+17
921	0.871	2.63422E+17
922	0.860125	2.63821E+17
923	0.841375	2.64212E+17
924	0.866125	2.64614E+17
925	0.8715	2.6502E+17
926	0.85375	2.65418E+17
927	0.873125	2.65825E+17
928	0.87175	2.66232E+17
929	0.87	2.66639E+17
930	0.869375	2.67045E+17
931	0.87	2.67453E+17
932	0.866375	2.67859E+17
933	0.869	2.68267E+17
934	0.866	2.68674E+17
935	0.856875	2.69077E+17
936	0.85275	2.69479E+17
937	0.854375	2.69881E+17
938	0.858125	2.70286E+17
939	0.855125	2.7069E+17
940	0.841125	2.71088E+17
941	0.82975	2.71481E+17
942	0.81325	2.71866E+17
943	0.831625	2.72261E+17
