Wvlgth Direct_normal_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Zonal_ground_reflectance
3.1550e+02 3.6630e-01 1.7970e+00 6.4163e-01 3.6630e-01 1.9160e-02 3.1810e-02
3.1600e+02 3.6330e-01 1.7249e+00 6.1375e-01 3.6330e-01 1.8910e-02 3.1850e-02
3.1650e+02 4.2360e-01 1.7963e+00 6.7300e-01 4.2360e-01 2.2070e-02 3.2290e-02
3.1700e+02 4.8140e-01 1.7327e+00 7.3225e-01 4.8140e-01 2.5300e-02 3.2740e-02
3.1750e+02 5.1490e-01 1.6899e+00 7.3237e-01 5.1490e-01 2.7370e-02 3.3180e-02
3.1800e+02 4.8140e-01 1.7789e+00 7.3250e-01 4.8140e-01 2.5780e-02 3.3630e-02
3.1850e+02 4.8240e-01 1.7250e+00 7.1938e-01 4.8240e-01 2.6140e-02 3.4140e-02
3.1900e+02 5.1610e-01 1.7459e+00 7.0625e-01 5.1610e-01 2.8280e-02 3.4660e-02
3.1950e+02 5.1060e-01 1.6556e+00 7.4175e-01 5.1060e-01 2.8180e-02 3.5170e-02
3.2000e+02 5.3560e-01 1.5345e+00 7.7725e-01 5.3560e-01 2.9810e-02 3.5680e-02
3.2050e+02 6.0720e-01 1.2167e+00 7.7300e-01 6.0720e-01 3.4160e-02 3.6130e-02
3.2100e+02 5.9170e-01 1.7032e+00 7.6875e-01 5.9170e-01 3.3610e-02 3.6580e-02
3.2150e+02 5.5880e-01 1.6302e+00 7.4700e-01 5.5880e-01 3.2020e-02 3.7020e-02
3.2200e+02 5.4150e-01 1.8558e+00 7.2525e-01 5.4150e-01 3.1210e-02 3.7470e-02
3.2250e+02 5.2570e-01 1.6815e+00 6.9900e-01 5.2570e-01 3.0570e-02 3.7980e-02
3.2300e+02 4.9710e-01 1.7782e+00 6.7275e-01 4.9710e-01 2.9190e-02 3.8490e-02
3.2350e+02 5.5210e-01 1.8853e+00 7.0525e-01 5.5210e-01 3.3440e-02 3.9020e-02
3.2400e+02 6.0470e-01 1.9201e+00 7.3775e-01 6.0470e-01 3.6950e-02 3.9540e-02
3.2450e+02 6.3060e-01 1.8794e+00 7.8887e-01 6.3060e-01 3.8720e-02 3.9980e-02
3.2500e+02 6.3880e-01 1.9772e+00 8.4000e-01 6.3880e-01 3.8670e-02 4.0420e-02
3.2550e+02 7.2310e-01 2.0205e+00 9.1125e-01 7.2310e-01 4.4130e-02 4.0860e-02
3.2600e+02 8.1940e-01 2.1173e+00 9.8250e-01 8.1940e-01 5.1520e-02 4.1330e-02
3.2650e+02 8.5330e-01 1.9385e+00 9.9212e-01 8.5330e-01 5.4210e-02 4.1820e-02
3.2700e+02 8.3700e-01 2.0078e+00 1.0017e+00 8.3700e-01 5.3510e-02 4.2310e-02
3.2750e+02 8.1350e-01 2.0649e+00 9.8025e-01 8.1350e-01 5.2310e-02 4.2800e-02
3.2800e+02 7.6250e-01 2.0232e+00 9.5875e-01 7.6250e-01 4.9180e-02 4.3290e-02
3.2850e+02 7.7510e-01 2.0240e+00 9.8362e-01 7.7510e-01 5.0570e-02 4.3770e-02
3.2900e+02 8.5540e-01 2.0766e+00 1.0085e+00 8.5540e-01 5.6340e-02 4.4240e-02
3.2950e+02 9.3920e-01 2.0209e+00 1.0493e+00 9.3920e-01 6.2300e-02 4.4710e-02
3.3000e+02 9.4620e-01 2.0025e+00 1.0900e+00 9.4620e-01 6.3130e-02 4.5180e-02
3.3050e+02 8.7230e-01 1.9896e+00 1.0470e+00 8.7230e-01 5.8430e-02 4.5650e-02
3.3100e+02 8.2300e-01 1.9744e+00 1.0040e+00 8.2300e-01 5.5430e-02 4.6120e-02
3.3150e+02 8.3870e-01 2.0120e+00 9.9700e-01 8.3870e-01 5.6960e-02 4.6590e-02
3.3200e+02 8.5460e-01 2.0072e+00 9.9000e-01 8.5460e-01 5.8560e-02 4.7060e-02
3.3250e+02 8.5010e-01 2.0542e+00 9.7562e-01 8.5010e-01 5.8670e-02 4.7550e-02
3.3300e+02 8.3230e-01 2.0375e+00 9.6125e-01 8.3230e-01 5.7730e-02 4.8050e-02
3.3350e+02 7.9770e-01 2.0521e+00 9.6037e-01 7.9770e-01 5.5530e-02 4.8540e-02
3.3400e+02 8.1180e-01 2.0621e+00 9.5950e-01 8.1180e-01 5.6840e-02 4.9030e-02
3.3450e+02 8.5350e-01 2.0387e+00 9.7775e-01 8.5350e-01 6.0240e-02 4.9500e-02
3.3500e+02 8.7870e-01 1.9639e+00 9.9600e-01 8.7870e-01 6.2440e-02 4.9970e-02
3.3550e+02 8.5150e-01 1.7118e+00 9.4600e-01 8.5150e-01 6.4450e-02 5.0510e-02
3.3600e+02 7.7750e-01 1.8965e+00 8.9600e-01 7.7750e-01 5.9220e-02 5.0980e-02
3.3650e+02 7.1910e-01 1.9904e+00 8.6575e-01 7.1910e-01 5.1910e-02 5.1360e-02
3.3700e+02 7.0540e-01 1.8904e+00 8.3550e-01 7.0540e-01 5.1130e-02 5.1810e-02
3.3750e+02 7.5500e-01 1.9528e+00 8.7838e-01 7.5500e-01 5.4980e-02 5.2260e-02
3.3800e+02 8.0560e-01 1.9858e+00 9.2125e-01 8.0560e-01 5.9030e-02 5.2710e-02
3.3850e+02 8.3720e-01 1.9477e+00 9.4625e-01 8.3720e-01 6.4580e-02 5.3280e-02
3.3900e+02 8.4810e-01 1.9172e+00 9.7125e-01 8.4810e-01 6.5100e-02 5.3780e-02
3.3950e+02 8.6580e-01 1.8684e+00 1.0030e+00 8.6580e-01 6.7290e-02 5.4310e-02
3.4000e+02 9.1830e-01 1.9181e+00 1.0348e+00 9.1830e-01 6.8620e-02 5.4770e-02
3.4050e+02 9.1230e-01 1.9405e+00 1.0112e+00 9.1230e-01 6.8480e-02 5.5240e-02
3.4100e+02 8.5090e-01 1.9563e+00 9.8775e-01 8.5090e-01 6.6760e-02 5.5760e-02
3.4150e+02 8.4220e-01 1.9337e+00 9.9150e-01 8.4220e-01 6.5280e-02 5.6210e-02
3.4200e+02 8.7470e-01 1.9324e+00 9.9525e-01 8.7470e-01 6.7840e-02 5.6680e-02
3.4250e+02 9.0380e-01 1.9342e+00 1.0092e+00 9.0380e-01 7.0160e-02 5.7150e-02
3.4300e+02 9.1510e-01 1.8435e+00 1.0232e+00 9.1510e-01 7.1970e-02 5.7630e-02
3.4350e+02 8.6250e-01 1.8212e+00 9.4962e-01 8.6250e-01 6.8570e-02 5.8110e-02
3.4400e+02 7.4510e-01 1.7206e+00 8.7600e-01 7.4510e-01 5.7590e-02 5.8540e-02
3.4450e+02 7.1230e-01 1.8208e+00 8.8987e-01 7.1230e-01 5.7980e-02 5.9070e-02
3.4500e+02 8.0540e-01 1.8911e+00 9.0375e-01 8.0540e-01 6.4490e-02 5.9520e-02
3.4550e+02 8.5460e-01 1.8803e+00 9.2837e-01 8.5460e-01 6.8250e-02 5.9980e-02
3.4600e+02 8.3110e-01 1.8940e+00 9.5300e-01 8.3110e-01 6.6360e-02 6.0440e-02
3.4650e+02 8.4330e-01 1.7404e+00 9.5513e-01 8.4330e-01 6.7440e-02 6.0930e-02
3.4700e+02 8.5470e-01 1.9447e+00 9.5725e-01 8.5470e-01 6.9090e-02 6.1440e-02
3.4750e+02 8.2260e-01 1.9795e+00 9.4363e-01 8.2260e-01 6.6940e-02 6.1940e-02
3.4800e+02 8.1610e-01 1.8158e+00 9.3000e-01 8.1610e-01 6.6090e-02 6.2420e-02
3.4850e+02 8.2720e-01 1.8908e+00 9.2188e-01 8.2720e-01 6.6940e-02 6.2900e-02
3.4900e+02 7.9410e-01 1.8915e+00 9.1375e-01 7.9410e-01 6.4410e-02 6.3400e-02
3.4950e+02 8.1280e-01 1.8786e+00 9.5937e-01 8.1280e-01 6.6250e-02 6.3890e-02
3.5000e+02 8.9480e-01 1.7880e+00 1.0050e+00 8.9480e-01 7.3160e-02 6.4380e-02
3.5050e+02 9.5900e-01 1.8648e+00 1.0263e+00 9.5900e-01 7.8590e-02 6.4830e-02
3.5100e+02 9.3060e-01 1.9045e+00 1.0475e+00 9.3060e-01 7.6770e-02 6.5290e-02
