Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.7567/JJAP.55.122301,MAPbI,MAPbI3,22.79,0.884,22.64,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.061,22.76,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.039,23.84,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.118,23.4,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.029,23.89,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.071,23.7,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.043,23.63,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.127,23.62,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.085,22.87,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.064,23.63,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.079,22.87,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.05,23.72,1.6
10.1038/NENERGY.2016.81,MAPbI,MAPbI3,22.77,1.096,22.58,1.6
10.1002/aenm.201803766,MAPbI,MAPbI3,22.76,1.075,22.53,1.6
10.1039/c9nj02074h,MAPbI,MAPbI3,22.75,0.97,23.6,1.6
10.1021/acsami.7b14254,MAPbI,MAPbI3,22.74,1.13,23.54,1.6
10.1016/j.jechem.2019.04.019,MAPbI,MAPbI3,22.72,1.08,20.82,1.6
10.1016/j.orgel.2019.05.024,MAPbI,MAPbI3,22.7,1.11,23.74,1.6
10.1002/aenm.201502472,MAPbI,MAPbI3,22.7,0.9,22.97,1.55
10.1039/c8ta09933b,MAPbI,MAPbI3,22.7,1.1,24.34,1.6
10.1016/j.carbon.2019.01.105,MAPbI,MAPbI3,22.7,1.062,21.96,1.6
10.1016/j.chempr.2018.03.005,MAPbI,MAPbI3,22.7,1.11,22.59,1.6
